#HJD-2450000 Imag ERR_Imag
5900.73342 15.073 0.005
5901.78269 15.154 0.005
5902.73398 15.371 0.006
5903.78914 15.238 0.005
5904.76378 15.096 0.005
5905.73781 15.006 0.005
5906.74969 15.016 0.005
5907.72776 15.093 0.005
5908.75310 15.196 0.005
5909.79760 15.344 0.005
5910.71042 15.163 0.005
5911.74228 15.074 0.005
5912.76275 15.026 0.005
5913.73468 15.028 0.005
5914.75732 15.081 0.005
5915.71436 15.233 0.005
5916.77070 15.367 0.005
5917.73188 15.179 0.005
5922.74892 15.197 0.005
5923.72513 15.379 0.005
5924.70647 15.156 0.005
5925.72051 15.080 0.005
5926.73227 15.025 0.005
5927.73130 15.030 0.005
5929.70548 15.243 0.005
5930.85066 15.266 0.005
5931.67250 15.135 0.005
5932.66981 15.054 0.005
5933.71967 15.017 0.005
5934.71573 15.031 0.005
5935.66674 15.111 0.005
5936.66129 15.296 0.005
5937.69057 15.327 0.005
5938.69135 15.149 0.005
5939.73544 15.081 0.005
5940.77105 15.018 0.005
5941.77174 15.022 0.005
5942.79637 15.048 0.005
5943.75322 15.197 0.005
5944.74610 15.372 0.005
5945.72682 15.174 0.005
5946.66666 15.040 0.005
5946.78263 15.098 0.005
5947.73320 15.013 0.005
5948.72205 15.024 0.005
5949.73822 15.070 0.005
5950.65919 15.306 0.005
5951.68457 15.331 0.005
5952.70916 15.152 0.005
5953.70709 15.058 0.005
5954.70464 15.010 0.005
5955.72731 15.015 0.005
5956.72730 15.078 0.005
5958.74454 15.365 0.005
5959.71648 15.169 0.005
5960.71854 15.077 0.005
5961.65028 15.015 0.005
5962.65118 15.045 0.006
5963.61791 15.138 0.005
5964.62987 15.332 0.006
5965.62877 15.257 0.005
5967.65096 15.029 0.006
5968.65105 15.019 0.005
5969.62707 15.077 0.005
5970.60456 15.147 0.005
5971.69744 15.253 0.005
5972.68381 15.323 0.005
5973.66689 15.121 0.005
5974.62191 15.033 0.005
5976.65607 15.037 0.005
5977.68964 15.058 0.005
5978.66605 15.304 0.005
5979.61622 15.225 0.005
5980.64638 15.114 0.005
5981.65535 15.042 0.005
5982.66131 15.000 0.005
5983.70440 15.026 0.005
5984.64340 15.118 0.005
5985.67528 15.286 0.005
5986.60506 15.221 0.005
5987.68086 15.128 0.005
5988.64698 15.027 0.005
5989.61093 15.011 0.005
5990.60445 15.066 0.005
5991.67947 15.098 0.005
5992.63976 15.319 0.006
5993.59659 15.210 0.005
5994.59607 15.082 0.005
5995.64297 15.028 0.005
5996.61308 15.005 0.005
5997.61524 15.059 0.005
5998.61358 15.134 0.005
5998.67699 15.094 0.005
5999.65429 15.301 0.005
6000.62969 15.262 0.005
6002.59335 15.017 0.005
6003.55954 15.009 0.005
6004.61991 15.058 0.005
